plot_cell_id f_hmax f_hmin f_hstd f_hmed f_hmean f_abs_n f_hskew f_hkurt f_intmax f_intmin f_intstd f_intmed f_intmean f_intskew f_intkurt f_h20 f_h40 f_h60 f_h80 f_int20 f_int40 f_int60 f_int80 f_d2 f_d4 f_echo_prop l_hmax l_hmin l_hstd l_hmed l_hmean l_abs_n l_hskew l_hkurt l_intmax l_intmin l_intstd l_intmed l_intmean l_intskew l_intkurt l_h20 l_h40 l_h60 l_h80 l_int20 l_int40 l_int60 l_int80 l_d2 l_d4 l_echo_prop a_hmax a_hmin a_hstd a_hmed a_hmean a_abs_n a_hskew a_hkurt a_intmax a_intmin a_intstd a_intmed a_intmean a_intskew a_intkurt a_h20 a_h40 a_h60 a_h80 a_int20 a_int40 a_int60 a_int80 a_d2 a_d4 i_abs_n i_hmean i_hstd i_echo_prop Rmax Rmin Rstd Rmean Gmax Gmin Gstd Gmean Bmax Bmin Bstd Bmean Nmax Nmin Nstd Nmean
4023 13.23 1.3 2.3082 7.825 7.6047 1664 -0.6038 3.1249 51576 21451 6205.7612 36535 35784.0046 -0.2363 2.4567 5.972 7.394 8.346 9.558 29796 34916.8 38185 40866.8 0.0968 0.1653 61.5508 12.79 1.35 2.7387 7.925 7.3728 1655 -0.3079 1.9918 51576 21429 7030.3481 38949 37372.3529 -0.4712 2.3341 4.39 7.02 8.48 9.88 30430 37136 40435 43274 0.7142 0.7613 19.1241 13.23 1.3 2.654 7.14 6.6899 3701 -0.2862 2.1647 51576 21058 6412.0508 34733 34256.417 -0.0207 2.2277 3.78 6.49 7.7 9.004 28127.2 32658 36502 39867 0.3556 0.4715 771 5.0178 2.4396 29.8513 849.4 434.6 81.7001 620.0176 1175.6 781.8 71.2102 955.4433 1362.6 1086.8 50.6347 1220.5608 2901 1526 259.5724 2186.5836
4024 8.25 1.31 1.5568 3.825 3.9862 607 0.3819 2.4242 51292 22609 5916.0093 39036.5 37461.1846 -0.5974 2.5801 2.56 3.38 4.342 5.42 31998.4 37690.8 40063 42395.8 0.2801 0.6277 79.1461 8.25 1.31 1.6836 4.565 4.4685 607 -0.0527 2.2031 51292 22675 5551.3946 41112 40286.6528 -1.1541 4.3074 2.664 4.162 5.11 5.85 37629.6 40325 42474.8 44265.8 0.7825 0.8501 23.6453 8.25 1.3 1.5113 3.6 3.8626 1106 0.4542 2.5882 51292 22609 6154.0085 37857 36425.803 -0.3587 2.2005 2.49 3.31 4.168 5.15 29909.4 35545.4 39381.6 41622.8 0.5036 0.764 109 3.3717 1.1028 15.5993 827.6 422.4 87.5514 623.5763 1252.6 747.6 98.6208 978.0108 1357.2 1061.2 56.7417 1195.2593 3855.4 1642.2 427.4677 2643.0834
4025 14.79 1.31 2.9831 5.16 5.7143 1647 0.7021 2.874 49762 21779 6661.1775 39058 37663.1749 -0.5589 2.295 2.97 4.31 6.086 8.282 31216 37009.4 40937 43763.8 0.5307 0.6721 73.3628 14.45 1.33 2.9796 5.82 6.1803 1637 0.5466 2.6982 49522 22915 6223.6915 42990 40908.6393 -1.285 3.6945 3.674 4.854 6.814 8.658 37477 42103.6 43908 45629.6 0.8748 0.8986 19.3805 14.79 1.31 2.9129 5.095 5.5769 2588 0.7026 2.9101 49762 21779 6876.056 37267 36305.8876 -0.3008 1.9964 2.868 4.236 5.958 8.09 29337 34886 39350.8 42881 0.6001 0.7199 227 4.995 2.6892 19.5575 973.6 358.2 129.2571 650.0232 1332.2 688 134.5811 1010.2673 1399.2 1040.8 71.8996 1204.385 3843.4 1086 510.7367 2353.054
5142 14.68 1.39 2.9613 9.58 9.1539 1832 -0.7105 3.0503 49500 20556 6431 38927 37261.4981 -0.7075 2.5998 6.858 8.838 10.362 11.622 31456 37027 40347 42947 0.2838 0.3259 67.1164 14.68 1.3 3.1794 10.635 9.7601 1710 -1.0297 3.2124 48845 21342 7279.2662 42193 39223.0314 -1.1868 3.0584 7.462 9.966 11.184 12.272 31670.6 41168.2 43020.8 44520 0.7994 0.8158 17.4913 14.68 1.3 2.9997 8.85 8.5416 3381 -0.474 2.6274 49500 19835 6990.4736 36219 35189.5797 -0.322 1.999 6.21 8.11 9.6 11.2 28201 33597 38534 41942 0.4235 0.4688 563 7.1954 2.6339 27.6362 870.4 400.4 99.5949 643.1388 1172.8 747.8 90.2162 960.5013 1362.2 1074.8 55.0467 1212.4931 2910.4 1324 325.9391 2056.8834
5143 18.86 1.33 2.8875 13.38 12.962 1767 -1.3383 5.8887 48605 22325 6131.5222 38982 37248.9448 -0.6703 2.4175 11.204 12.72 14.04 15.15 31282 37144.8 40329.4 42706 0.2354 0.2535 70 18.86 1.3 3.0837 14.68 13.9411 1727 -2.058 7.7664 47884 21976 5648.3593 42248 40431.0707 -1.6065 4.7279 12.96 14.28 15.06 15.74 38578 41418 43034 44279 0.7724 0.7765 20.4124 18.86 1.3 3.4809 12.74 12.1108 3280 -1.2158 4.3722 48605 21976 6542.7946 36721 35530.6469 -0.3135 1.9143 10.348 12.046 13.46 14.832 28786.6 34078 38761.4 41789 0.4165 0.4427 484 9.8298 3.762 24.5876 979.4 392.2 106.422 626.3022 1276.4 717.4 101.8918 950.1935 1425 1045.8 64.9197 1195.073 3198.4 1273.6 369.0262 2156.0012
5144 13.68 2.6 1.5241 9.96 9.8376 1529 -0.3517 3.1007 47775 22740 5533.3994 40609 38815.0673 -1.0164 3.2125 8.61 9.55 10.34 11.14 34231 39146 41549 43340 0.0085 0.0092 71.1737 13.54 2.51 1.3484 10.315 10.2742 1566 -0.6101 4.9381 47775 21255 5301.956 42684.5 40909.1931 -1.8282 5.7447 9.23 10 10.69 11.41 39080 41811 43253 44345 0.613 0.6137 28.4507 13.68 1.81 1.7465 9.45 9.3464 3096 -0.643 4.4657 47775 20883 6368.6259 38447 36800.5695 -0.5646 2.1915 7.878 9 9.89 10.832 30277 36210.2 40151 42663 0.3123 0.3207 489 7.8763 1.654 22.6761 780 403.6 66.83 552.3112 1131.2 723.2 67.0242 888.9343 1294 1041.2 43.586 1172.8892 3810.6 1291.6 359.3639 2180.6715
5145 12.06 2.69 1.6141 8.05 7.9614 1549 -0.1177 2.6597 48998 21866 5826.4698 38971 37480.2689 -0.729 2.6989 6.51 7.59 8.478 9.31 32435 37249.4 40282 42518.8 0.1453 0.1504 77.6995 11.98 1.39 1.4982 8.93 8.8615 1540 -1.2374 7.5324 48998 21888 5231.7758 42685 41089.4006 -1.8582 5.9148 7.81 8.66 9.196 10.08 39652.4 41928.8 43331.2 44520 0.776 0.7786 20.3638 12.06 1.39 1.699 7.74 7.6862 2902 -0.2924 3.3623 48998 21189 6353.9523 37136 35983.0346 -0.4312 2.1247 6.29 7.31 8.15 9.09 29743.6 34799 39053.8 41898 0.4156 0.4256 317 6.5949 1.566 18.4859 803.8 402.2 80.8755 567.6949 1127.2 700.8 83.2013 891.3193 1329 1057 52.758 1172.1621 3039 1101.6 378.7311 1996.4119
5146 17.48 1.41 4.0187 12.04 10.754 1526 -0.6509 2.3132 48561 21342 6484.6458 38272 36640.6513 -0.4962 2.1481 6.76 10.66 12.91 14.26 30180.2 35629 39840.6 42671.8 0.4417 0.4797 68.6414 17.25 1.35 3.4873 13.61 12.3052 1507 -1.0214 3.211 48299 21014 6279.8985 42444 40004.8848 -1.3489 3.7391 9.164 12.68 14.162 14.936 35655.2 41134 43165 44214 0.8394 0.8427 19.1943 17.48 1.33 4.1066 11.09 10.0394 2541 -0.4144 1.9722 48561 21014 6677.99 35476 34983.876 -0.1711 1.8758 5.51 9.31 12.19 13.88 28245 32942 37922 41702 0.512 0.5573 331 7.9755 3.6906 25.7504 946.6 420.2 128.1767 675.3452 1196.6 736.4 108.6745 984.2923 1385 1091 68.5293 1229.5144 2861.4 1348.2 361.3459 2108.394
5147 10.25 1.32 1.5369 6.5 6.4144 1698 -0.1887 2.5822 47643 22041 5796.0013 38490 37226.7745 -0.6699 2.5611 5.06 6.07 6.86 7.78 31981 36939 39867 42422 0.1537 0.2073 78.3578 10.25 1.3 1.7605 7.495 7.1758 1701 -1.5687 5.9437 47643 22172 5238.4472 42510 40934.0455 -1.9333 6.1842 6.242 7.104 7.79 8.488 39075.6 41994.4 43226.6 44389 0.8025 0.8048 19.1408 10.25 1.3 1.6586 6.16 6.0998 3205 -0.2692 2.8417 47643 20971 6258.352 36918 35817.0941 -0.3838 2.0829 4.566 5.78 6.6 7.594 29687 34672.2 38600 41898 0.4359 0.4858 356 4.9636 1.4101 18.5971 820.4 412.4 79.4324 625.2369 1201.4 747.2 80.1745 965.4802 1334.2 1078.8 49.0145 1215.1527 3850.4 1559.8 330.3628 2529.2029
9563 12.48 1.36 2.5897 5.67 5.9106 1667 0.3306 2.3147 49369 21517 6473.7129 37485.5 36209.4312 -0.428 2.215 3.608 4.958 6.27 8.346 29862 35187.6 39342 42099.4 0.5321 0.6299 73.9946 12.11 1.65 2.3159 8.51 8.3095 1631 -0.7473 3.6075 47185 22522 5941.8938 41461 39175.6228 -1.1356 3.173 6.544 7.854 8.864 10.374 33348.2 40557 42099.4 43750.6 0.9319 0.9338 10.1877 12.48 1.3 2.6125 5.49 5.6446 2678 0.335 2.2995 49369 21233 6616.3745 35629 35002.4951 -0.2133 2.0077 3.2 4.61 6.16 8.14 28673.2 33138 37957.2 41426.4 0.6165 0.7072 263 4.5645 2.3984 22.5201 1065.8 558.4 97.654 823.9843 1282.4 901.8 79.2642 1104.2022 1475.2 1136 59.2993 1297.7452 3567.8 1850.6 342.3022 2673.6563
9564 7.47 1.3 1.3336 3.62 3.6394 1590 0.1674 2.2101 50942 21102 6608.0497 40216 38494.1035 -0.6505 2.4301 2.314 3.198 4.03 4.87 32046 38223.6 41749.4 44489.2 0.5025 0.7648 75.7426 7.15 1.36 1.3522 3.59 3.6052 1590 0.1844 2.0777 50942 22216 5852.7998 44105 42062.2913 -1.6638 5.1106 2.26 3.088 3.984 4.946 39735.4 43370.8 44673 46074.8 0.822 0.917 27.4752 7.47 1.3 1.3199 3.39 3.4479 2526 0.3126 2.2594 50942 21102 6751.758 39047.5 37554.6097 -0.5053 2.251 2.142 2.89 3.78 4.68 31019 36677 40722.8 43842 0.6033 0.8333 227 2.8437 1.0795 16.0891 889 363.6 105.1793 596.9632 1241.2 681.2 113.703 940.8505 1301.2 1009.6 56.7947 1156.5083 3386.4 1011.6 485.3157 2276.0229
9565 12.06 1.36 1.8 7.14 6.9099 1576 -0.7882 3.8338 49413 21364 6137.6803 39801 38258.4819 -0.7561 2.6985 5.626 6.77 7.54 8.34 32614 38009.8 41347.6 43558 0.1409 0.1853 66.1884 11.37 1.33 1.8425 7.25 6.9626 1591 -0.7431 3.2988 49413 21604 6223.1357 42117 39966.708 -1.1944 3.5049 5.45 6.87 7.7 8.43 35410 40893 43034 44716 0.5883 0.6191 31.6117 12.06 1.31 1.9794 6.57 6.3255 3047 -0.5157 2.867 49413 20993 6615.8672 37486 36308.6131 -0.3759 2.0913 4.84 6.09 7.04 8.01 29621 35214 39233 42575 0.3351 0.404 501 5.0172 1.8301 23.099 728.4 371 77.8593 551.9486 1152.4 683 84.8314 890.3592 1263 1004 50.2043 1137.3688 3689 1192.2 404.8593 2250.0383
